 Date,Start Time,End TIme,Activity,location,"General Emotion (excited, happy, calm, anxious, sad, angry)",Qualitative,Excited,Happy,Calm,Anxious,Sad ,Angry,Hungry,Tired,Bored,startTime,endTime
2016-04-27,12:15:00,12:40:00,waiting in line to get cap and gown ,university center,bored,,,,3.00,,,,2.00,,2.00,2016-04-27 12:15:00,2016-04-27 12:40:00
2016-04-27,13:00:00,13:40:00,registering for the FSOT,6 e 16th,anxious,,,,,6.00,,3.00,,,,2016-04-27 13:00:00,2016-04-27 13:40:00
2016-04-27,13:50:00,15:30:00,political psychology class (doing hw in class),6 e 16th,bored,,,,,6.00,,,,,6.00,2016-04-27 13:50:00,2016-04-27 15:30:00
2016-04-27,14:00:00,14:05:00,political psych prof tried to tell the class that he had a meeting today and i called him out on it being a LIE,6 e 16th,angry,,4.00,,,2.00,,7.00,,,,2016-04-27 14:00:00,2016-04-27 14:05:00
2016-04-27,15:35:00,16:15:00,global studies coffee hour,caffe bene,anxious,,2.00,,,5.00,,,2.00,2.00,,2016-04-27 15:35:00,2016-04-27 16:15:00
2016-04-27,16:30:00,16:31:00,punched colin,barb's office,angry,,2.00,,,8.00,,8.00,,,,2016-04-27 16:30:00,2016-04-27 16:31:00
2016-04-27,16:32:00,16:45:00,intimidating colin,barb's office,anxious/angry,,4.00,,,9.00,,9.00,,,,2016-04-27 16:32:00,2016-04-27 16:45:00
2016-04-27,19:05:00,20:00:00,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,,2016-04-27 19:05:00,2016-04-27 20:00:00
2016-04-27,23:20:00,23:21:00,thesis presentation email,home,anxious,,,,,10.00,,,,,,2016-04-27 23:20:00,2016-04-27 23:21:00
2016-04-28,10:00:00,11:30:00,calligraphy class aka the best way to start your morning,6 e 16th,calm,,,,10.00,,,,,,,2016-04-28 10:00:00,2016-04-28 11:30:00
2016-04-28,14:35:00,14:36:00,loud volume from class,66 5th av,scared,,5.00,,,8.00,,,,,,2016-04-28 14:35:00,2016-04-28 14:36:00
2016-04-28,14:41:00,14:42:00,loud volume from class,66 5th av,scared,,5.00,,,8.00,,,,,,2016-04-28 14:41:00,2016-04-28 14:42:00
2016-04-28,15:25:00,15:35:00,attacking arash,5th floor,excited,,3.00,2.00,,,,,,1.00,,2016-04-28 15:25:00,2016-04-28 15:35:00
2016-04-28,16:15:00,17:20:00,thesis meeting,66 w 12th,calm,,,,5.00,2.00,,,,2.00,,2016-04-28 16:15:00,2016-04-28 17:20:00
2016-04-28,17:45:00,19:50:00,evolution of warfare class,6 e 16th,calm/tired,,,,7.00,,,,,4.00,,2016-04-28 17:45:00,2016-04-28 19:50:00
2016-04-28,21:10:00,22:10:00,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,,2016-04-28 21:10:00,2016-04-28 22:10:00
2016-04-29,08:30:00,09:30:00,stayed in bed BECAUSE I COULD! and couldn't call back asleep,home,happy,,,5.00,10.00,,,,,,,2016-04-29 08:30:00,2016-04-29 09:30:00
2016-04-29,10:30:00,11:00:00,went to rice noodle lady,3 blocks from home,happy,,5.00,5.00,5.00,,,,8.00,,,2016-04-29 10:30:00,2016-04-29 11:00:00
2016-04-29,11:00:00,15:15:00,homework/procrastinating homework with other homework/pokemon on in the background,home,anxious,,,,2.00,5.00,,,,,2.00,2016-04-29 11:00:00,2016-04-29 15:15:00
2016-04-29,15:15:00,17:30:00,procrastinating adventure,out and about,anxious,,,2.00,2.00,4.00,,,,,,2016-04-29 15:15:00,2016-04-29 17:30:00
2016-04-29,17:30:00,20:50:00,homework,home,anxious,,,,,7.00,,2.00,,,,2016-04-29 17:30:00,2016-04-29 20:50:00
