Date,Start Time,End TIme,Activity,General Emotion,Excited,Happy,Calm,Anxious,Sad ,Angry,Hungry,Tired,Bored,Location
5/1/16,6:53 PM,7:20 PM,Driving home,,,,5,5,,,,,,
5/1/16,7:20 PM,8:00 PM,home cleaning,,,,5,5,,,,,,
5/1/16,8:00 PM,9:00 PM,With Kathy,,,,5,5,,,,,,
5/1/16,9:00 PM,9:47 PM,cleaning and packing,,,,5,5,,,,,,
5/1/16,9:47 PM,11:59 PM,Watch TV,,,,5,5,,,,,,
5/2/16,12:00 AM,1:30 AM,Watch TV,,,,,8,,,,,,
5/2/16,1:30 AM,6:30 AM,Sleep,,,,6,,,,,,,
5/2/16,6:30 AM,6:50 AM,shower,,,,6,,,,,,,
5/2/16,6:50 AM,7:15 AM,get ready and get to train,,,,6,,,,,,,
5/2/16,7:15 AM,8:15 AM,Train Commute,,,,6,,,,,,,
5/2/16,8:15 AM,9:30 AM,setting up computers,,,,,8,,,,,,
5/2/16,9:30 AM,11:13 AM,Class and setting up computers,,,,,6,6,,,,,
5/2/16,11:13 AM,12:00 PM,Work,,,,,,,,,,,
5/2/16,12:00 PM,1:18 PM,meeting with ANne,,,,,,,,,,,
