starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored,exhaca,ansaan,exha,haca,anan,ansa
4/27/16 15:00,4/27/16 16:20,4/27/16,3:00 PM,4:20 PM,Work Cage,work,Calm/Anxious,,,,6.00,4.00,,,,,,6.00,4.00,0.00,6.00,4.00,4.00
4/27/16 16:20,4/27/16 16:30,4/27/16,4:20 PM,4:30 PM,Hashem Catch up,work,Anxious,,,,,6.00,,,,,,0.00,6.00,0.00,0.00,6.00,6.00
4/27/16 16:30,4/27/16 17:30,4/27/16,4:30 PM,5:30 PM,Work stuff/coding,work,Calm/Anxious,,,,6.00,4.00,,,,,,6.00,4.00,0.00,6.00,4.00,4.00
4/27/16 17:30,4/27/16 18:39,4/27/16,5:30 PM,6:39 PM,leaving work,work,Calm/Anxious,,,,6.00,4.00,,,,,,6.00,4.00,0.00,6.00,4.00,4.00
4/27/16 18:39,4/27/16 19:30,4/27/16,6:39 PM,7:30 PM,on train,,Calm/Anxious,,,,6.00,4.00,,,,,,6.00,4.00,0.00,6.00,4.00,4.00
4/27/16 19:30,4/27/16 19:46,4/27/16,7:30 PM,7:46 PM,Home,home,Calm/Anxious,,,,6.00,4.00,,,,,,6.00,4.00,0.00,6.00,4.00,4.00
4/27/16 19:46,4/27/16 1:30,4/27/16,7:46 PM,1:30 AM,Coding,home,Calm/Anxious,,,,6.00,4.00,,,,,,6.00,4.00,0.00,6.00,4.00,4.00
4/28/16 1:30,4/28/16 6:30,4/28/16,1:30 AM,6:30 AM,giving up,home,angry/anxious,,,,,4.00,,4.00,,,,0.00,8.00,0.00,0.00,8.00,4.00
4/28/16 6:30,4/28/16 6:40,4/28/16,6:30 AM,6:40 AM,shower,home,calm,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00
4/28/16 6:40,4/28/16 7:10,4/28/16,6:40 AM,7:10 AM,Geting ready and getting to train,,Calm/Anxious,,,,4.00,4.00,,,,,,4.00,4.00,0.00,4.00,4.00,4.00
4/28/16 7:10,4/28/16 8:15,4/28/16,7:10 AM,8:15 AM,email from geyer,work,ANGRY,,,,,,,10.00,,,,0.00,10.00,0.00,0.00,10.00,0.00
4/28/16 8:15,4/28/16 9:51,4/28/16,8:15 AM,9:51 AM,,work,ANGRY,,,,,,,10.00,,,,0.00,10.00,0.00,0.00,10.00,0.00
4/28/16 9:51,4/28/16 10:00,4/28/16,9:51 AM,10:00 AM,Cooling off,work,Angry Anxious,,,,,,,6.00,,,,0.00,6.00,0.00,0.00,6.00,0.00
