starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored
2016-04-25 17:02:00,2016-04-25 17:06:00,4/25/16,5:02:00 PM,5:06:00 PM,talking to barb,barb's office,angry,7,,,,,,,,,
2016-04-25 17:50:00,2016-04-25 19:50:00,4/25/16,5:50:00 PM,7:50:00 PM,class; had a presentation,66 w 12th,anxious/calm,8-Jun,,,,,,,,,
2016-04-25 20:00:00,2016-04-25 21:30:00,4/25/16,8:00:00 PM,9:30:00 PM,video class,arnold hall,bored,8,,,,,,,,,
2016-04-25 22:30:00,2016-04-25 22:45:00,4/25/16,10:30:00 PM,10:45:00 PM,talking to mom and facetimed cat!,home,excited,10,,,,,,,,,
2016-04-26 09:15:00,2016-04-26 09:20:00,4/26/16,9:15:00 AM,9:20:00 AM,forgot metrocard and had to go home,block from home,anxious,6,,,,,,,,,
2016-04-26 10:00:00,2016-04-26 11:30:00,4/26/16,10:00:00 AM,11:30:00 AM,calligraphy class aka the best way to start your morning,6 e 16th,calm,10,,,,,,,,,
2016-04-26 11:50:00,2016-04-26 12:00:00,4/26/16,11:50:00 AM,12:00:00 PM,gossiping with hashem,durst,excited,5,,,,,,,,,
2016-04-26 12:35:00,2016-04-26 12:45:00,4/26/16,12:35:00 PM,12:45:00 PM,battle of the barb,5th floor,excited anger,,2.00,3.00,,,,3.00,,,
2016-04-26 13:00:00,2016-04-26 14:45:00,4/26/16,1:00:00 PM,2:45:00 PM,thesis death,5th floor,anxious,,,,,9.00,,,,,
2016-04-26 16:15:00,2016-04-26 16:30:00,4/26/16,4:15:00 PM,4:30:00 PM,art therapy with elizabeth,5th floor,calm,,,,8.00,,,,,,
2016-04-26 16:50:00,2016-04-26 17:00:00,4/26/16,4:50:00 PM,5:00:00 PM,sitting with sally on 5,5th floor,calm,,,,6.00,,,,,,
2016-04-26 18:15:00,2016-04-26 18:20:00,4/26/16,6:15:00 PM,6:20:00 PM,went to talk and realized how uninteresting it was about to be so left,NYU,bored,,,4.00,,4.00,1.00,,,,
2016-04-26 20:25:00,2016-04-26 21:25:00,4/26/16,8:25:00 PM,9:25:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
2016-04-26 21:40:00,2016-04-26 21:45:00,4/26/16,9:40:00 PM,9:45:00 PM,find facebook message request from an ex who i broke up with in high school why are you messaging me?!?!?,home,confused/annoyed,,,,,2.00,,1.00,,,
2016-04-26 23:45:00,2016-04-26 23:46:00,4/26/16,11:45:00 PM,11:46:00 PM,took a melatonin to help me sleep ,home,,,,,,,,,,,
2016-04-27 10:00:00,2016-04-27 11:40:00,4/27/16,10:00:00 AM,11:40:00 AM,microeconomics class,6 e 16th,bored,,,,4.00,,,,,,8.00
2016-04-27 11:50:00,2016-04-27 11:55:00,4/27/16,11:50:00 AM,11:55:00 AM,go to meet political psych prof and he says that he can't meet,80 5th av,angry,,,,,2.00,,4.00,,,
2016-04-27 12:05:00,2016-04-27 12:10:00,4/27/16,12:05:00 PM,12:10:00 PM,talking to psycho-barb,barb's office,alarmed,,,,,3.00,,,,,
2016-04-27 12:15:00,2016-04-27 12:40:00,4/27/16,12:15:00 PM,12:40:00 PM,waiting in line to get cap and gown ,university center,bored,,,,3.00,,,,2.00,,2.00
2016-04-27 13:00:00,2016-04-27 13:40:00,4/27/16,1:00:00 PM,1:40:00 PM,registering for the FSOT,6 e 16th,anxious,,,,,6.00,,3.00,,,
2016-04-27 13:50:00,2016-04-27 15:30:00,4/27/16,1:50:00 PM,3:30:00 PM,political psychology class (doing hw in class),6 e 16th,bored,,,,,6.00,,,,,6.00
2016-04-27 14:00:00,2016-04-27 14:05:00,4/27/16,2:00:00 PM,2:05:00 PM,political psych prof tried to tell the class that he had a meeting today and i called him out on it being a LIE,6 e 16th,angry,,4.00,,,2.00,,7.00,,,
2016-04-27 15:35:00,2016-04-27 16:15:00,4/27/16,3:35:00 PM,4:15:00 PM,global studies coffee hour,caffe bene,anxious,,2.00,,,5.00,,,2.00,2.00,
2016-04-27 16:30:00,2016-04-27 16:31:00,4/27/16,4:30:00 PM,4:31:00 PM,punched colin,barb's office,angry,,2.00,,,8.00,,8.00,,,
2016-04-27 16:32:00,2016-04-27 16:45:00,4/27/16,4:32:00 PM,4:45:00 PM,intimidating colin,barb's office,anxious/angry,,4.00,,,9.00,,9.00,,,
2016-04-27 19:05:00,2016-04-27 20:00:00,4/27/16,7:05:00 PM,8:00:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
2016-04-27 23:20:00,2016-04-27 23:21:00,4/27/16,11:20:00 PM,11:21:00 PM,thesis presentation email,home,anxious,,,,,10.00,,,,,
2016-04-28 10:00:00,2016-04-28 11:30:00,4/28/16,10:00:00 AM,11:30:00 AM,calligraphy class aka the best way to start your morning,6 e 16th,calm,,,,10.00,,,,,,
2016-04-28 14:35:00,2016-04-28 14:36:00,4/28/16,2:35:00 PM,2:36:00 PM,loud volume from class,66 5th av,scared,,5.00,,,8.00,,,,,
2016-04-28 14:41:00,2016-04-28 14:42:00,4/28/16,2:41:00 PM,2:42:00 PM,loud volume from class,66 5th av,scared,,5.00,,,8.00,,,,,
2016-04-28 15:25:00,2016-04-28 15:35:00,4/28/16,3:25:00 PM,3:35:00 PM,attacking arash,5th floor,excited,,3.00,2.00,,,,,,1.00,
2016-04-28 16:15:00,2016-04-28 17:20:00,4/28/16,4:15:00 PM,5:20:00 PM,thesis meeting,66 w 12th,calm,,,,5.00,2.00,,,,2.00,
2016-04-28 17:45:00,2016-04-28 19:50:00,4/28/16,5:45:00 PM,7:50:00 PM,evolution of warfare class,6 e 16th,calm/tired,,,,7.00,,,,,4.00,
2016-04-28 21:10:00,2016-04-28 22:10:00,4/28/16,9:10:00 PM,10:10:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
2016-04-29 08:30:00,2016-04-29 09:30:00,4/29/16,8:30:00 AM,9:30:00 AM,stayed in bed BECAUSE I COULD! and couldn't call back asleep,home,happy,,,5.00,10.00,,,,,,
2016-04-29 10:30:00,2016-04-29 11:00:00,4/29/16,10:30:00 AM,11:00:00 AM,went to rice noodle lady,3 blocks from home,happy,,5.00,5.00,5.00,,,,8.00,,
2016-04-29 11:00:00,2016-04-29 15:15:00,4/29/16,11:00:00 AM,3:15:00 PM,homework/procrastinating homework with other homework/pokemon on in the background,home,anxious,,,,2.00,5.00,,,,,2.00
2016-04-29 15:15:00,2016-04-29 17:30:00,4/29/16,3:15:00 PM,5:30:00 PM,procrastinating adventure,out and about,anxious,,,2.00,2.00,4.00,,,,,
2016-04-29 17:30:00,2016-04-29 20:50:00,4/29/16,5:30:00 PM,8:50:00 PM,homework,home,anxious,,,,,7.00,,2.00,,,
2016-04-29 20:50:00,2016-04-29 21:45:00,4/29/16,8:50:00 PM,9:45:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
2016-04-29 22:05:00,2016-04-29 23:59:00,4/29/16,10:05:00 PM,11:59:00 PM,homework/pokemon hehe,home,anxious,,,2.00,,5.00,,,,,
2016-04-30 00:00:00,2016-04-30 00:40:00,4/30/16,12:00:00 AM,12:40:00 AM,editing photos instead of writing thesis,home,calm,,,,8.00,2.00,,,,,
2016-04-30 09:25:00,2016-04-30 09:35:00,4/30/16,9:25:00 AM,9:35:00 AM,noodle lady,3 blocks from home,happy,,4.00,4.00,2.00,,,,,,
2016-04-30 09:36:00,2016-04-30 10:15:00,4/30/16,9:36:00 AM,10:15,eating and drinking coffee,home,happy,,,5.00,5.00,,,,,,
2016-04-30 10:16:00,2016-04-30 11:00:00,4/30/16,10:16:00 AM,11:00:00 AM,waiting for late video project partner,home,anxious/irritated,,,,,5.00,,2.00,,,
2016-04-30 11:01:00,2016-04-30 12:00:00,4/30/16,11:01:00 AM,12:00:00 PM,driving to hofstra (brief moments of life threatening experiences),car,anxious,,,,,4.00,,,,,3.00
2016-04-30 12:01:00,2016-04-30 14:40:00,4/30/16,12:01:00 PM,2:40:00 PM,recording rugby game,hofstra university,bored,,,,,4.00,,,,,3.00
2016-04-30 14:41:00,2016-04-30 15:30:00,4/30/16,2:41:00 PM,3:30:00 PM,driving to school (brief moments of life threatening experiences),car,anxious,,,,,4.00,,,,,
2016-04-30 15:40:00,2016-04-30 19:00:00,4/30/16,3:40:00 PM,7:00:00 PM,editing video,3rd floor,anxious,,,,4.00,2.00,,,,2.00,2.00
2016-04-30 19:01:00,2016-04-30 22:15:00,4/30/16,7:01:00 PM,10:15:00 PM,editing russia book,3rd floor/5th floor,calm,,,,10.00,,,,,,
2016-04-30 20:30:00,2016-04-30 20:45:00,4/30/16,8:30:00 PM,8:45:00 PM,root beer floats,5th floor,happy,,4.00,6.00,,,,,,,
2016-05-01 11:00:00,2016-05-01 19:00:00,5/1/16,11:00:00 AM,7:00:00 PM,working in cage/doing hw,4th floor cage,anxious,,,,,4.00,,2.00,,,
2016-05-01 13:50:00,2016-05-01 13:35:00,5/1/16,1:50:00 PM,1:35:00 PM,attack arash,4th floor cage,angry,,,,,,,8.00,,,
2016-05-01 15:09:00,2016-05-01 15:10:00,5/1/16,3:09:00 PM,3:10:00 PM,found out troy is moving to SF,4th floor cage,angry,,,,,10.00,10.00,10.00,,,
2016-05-01 17:05:00,2016-05-01 17:15:00,5/1/16,5:05:00 PM,5:15:00 PM,taiso exercises with sol and arash (you should see the security cam footage),4th floor cage,happy,,2.00,2.00,5.00,,,,,,
2016-05-01 20:35:00,2016-05-01 21:35:00,5/1/16,8:35:00 PM,9:35:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
2016-05-02 06:50:00,2016-05-02 07:00:00,5/2/16,6:50:00 AM,7:00:00 AM,woke up annoyed,home,angry,,,,,2.00,,2.00,,8.00,
2016-05-02 08:40:00,2016-05-02 08:43:00,5/2/16,8:40:00 AM,8:43:00 AM,david.,university center,angry,,,,,3.00,,6.00,,6.00,
2016-05-02 09:00:00,2016-05-02 09:45:00,5/2/16,9:00:00 AM,9:45:00 AM,david.,university center,angry,,,,,2.00,,6.00,,4.00,
2016-05-02 10:00:00,2016-05-02 11:40:00,5/2/16,10:00:00 AM,11:40:00 AM,microeconomics class,6 e 16th stret,bored,,,,4.00,4.00,,2.00,,2.00,
2016-05-02 12:00:00,2016-05-02 12:10:00,5/2/16,12:00:00 PM,12:10:00 PM,hashem called me a spy and i never want to see his stupid face again,5th floor,angry,,,,,4.00,,10.00,,2.00,
2016-05-02 12:10:00,2016-05-02 13:18:00,5/2/16,12:10:00 PM,1:18:00 PM,homework,barb's office,anxious,,,,,4.00,,2.00,,2.00,
2016-05-02 13:19:00,2016-05-02 13:20:00,5/2/16,1:19:00 PM,1:20:00 PM,hit sally,barb's office,excited,,8.00,,,3.00,,,,2.00,
2016-05-02 13:20:00,2016-05-02 13:21:00,5/2/16,1:20:00 PM,1:21:00 PM,laughing with sally,barb's office,happy,,5.00,5.00,,,,,,2.00,
2016-05-02 13:38:00,2016-05-02 13:50:00,5/2/16,1:38:00 PM,1:50:00 PM,charles,barb's office,angry,,,,,,,8.00,,,
2016-05-02 13:49:00,2016-05-02 13:50:00,5/2/16,1:49:00 PM,1:50:00 PM,listening to sally enter in her emotions,barb's office,excited,,5.00,5.00,,,,,,,
2016-05-02 14:00:00,2016-05-02 14:10:00,5/2/16,2:00:00 PM,2:10:00 PM,barb and sally are teasing me then arash was being mean and i told him yesterday i would punch him so i did,5th floor,angry,,3.00,,,,,9.00,,,
2016-05-02 14:11:00,2016-05-02 16:25:00,5/2/16,2:11:00 PM,4:25:00 PM,homework/work,5th floor,anxious,,,,,5.00,,,,,
2016-05-02 16:30:00,2016-05-02 16:35:00,5/2/16,4:30:00 PM,4:35:00 PM,meeting with jonathan,66 w 12th,excited,,3.00,,3.00,,,,,,
2016-05-02 16:50:00,2016-05-02 17:05:00,5/2/16,4:50:00 PM,5:05:00 PM,getting chocolate to give to my thesis readers,whole foods,calm,,,,5.00,2.00,,,,,
2016-05-02 18:00:00,2016-05-02 19:40:00,5/2/16,6:00:00 PM,7:40:00 PM,packing,home,calm,,,2.00,8.00,2.00,,,,,
2016-05-02 20:36:00,2016-05-02 21:12:00,5/2/16,8:36:00 PM,9:12:00 PM,"exercise (warmup, exercise, stretch/cooldown)",home,dying,,,,,,,,,,
2016-05-02 21:00:00,2016-05-02 21:20:00,5/2/16,9:00:00 PM,9:20:00 PM,messaging colin about book,home,anxious,,2.00,,,3.00,,,,,
2016-05-02 21:21:00,2016-05-02 22:00:00,5/2/16,9:21:00 PM,10:00:00 PM,editing book,home,calm,,,,3.00,1.00,,,,,
2016-05-03 08:00:00,2016-05-03 08:05:00,5/3/16,8:00:00 AM,8:05:00 AM,met colin,14th/8th av,tired,,,,2.00,2.00,,,,10.00,
2016-05-03 08:30:00,2016-05-03 09:45:00,5/3/16,8:30:00 AM,9:45:00 AM,visa adventure,chinese consulate,anxious,,,,3.00,5.00,,,,7.00,4.00
2016-05-03 09:46:00,2016-05-03 10:25:00,5/3/16,9:46:00 AM,10:25:00 AM,run back to school to be late to class,,anxious,,,,,8.00,,,,6.00,
2016-05-03 10:30:00,2016-05-03 11:30:00,5/3/16,10:30:00 AM,11:30:00 AM,calligraphy class ,6 e 16th,calm,,,,6.00,2.00,,,,6.00,
2016-05-03 11:45:00,2016-05-03 16:00:00,5/3/16,11:45:00 AM,4:00:00 PM,work,5th floor cage,anxious/tired,,,,,8.00,,,,6.00,
2016-05-03 12:00:00,2016-05-03 12:05:00,5/3/16,12:00:00 PM,12:05:00 PM,scolding colin for not giving me all his paperwork,5th floor cage,anxious,,,,,4.00,,,,6.00,
2016-05-03 13:30:00,2016-05-03 13:45:00,5/3/16,1:30:00 PM,1:45:00 PM,getting hot cocoa with megan,croque,happy sad,,,5.00,,3.00,4.00,,,5.00,
2016-05-03 15:45:00,2016-05-03 16:00:00,5/3/16,3:45:00 PM,4:00:00 PM,sitting with sally,5th floor cage,calm,,,,4.00,2.00,,,,5.00,
2016-05-03 16:30:00,2016-05-03 17:30:00,5/3/16,4:30:00 PM,5:30:00 PM,getting mothers day cards/dads bday card,out and about,tired,,,,,3.00,,,,5.00,
2016-05-03 18:30:00,2016-05-03 18:40:00,5/3/16,6:30:00 PM,6:40:00 PM,realized i forgot to get something to bring for thesis presentations potlock,out and about,tired,,,,,4.00,,,,5.00,
2016-05-03 07:40:00,2016-05-03 20:00:00,5/3/16,7:40:00 AM,8:00:00 PM,nap,home,tired,,,,,4.00,4.00,,,5.00,
2016-05-03 20:48:00,2016-05-03 09:15:00,5/3/16,8:48:00 PM,9:15:00 AM,exercise (shorter than usual... tired),home,dying,,,,,,,,,,
