starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored,exhaca,ansaan,exha,haca,anan,ansa
2016-05-07 19:10:00,2016-05-07 19:30:00,2016-05-07,7:10 PM,7:30 PM,Getting dessert,Bibble and Sip,Happy,8,,8,,,,,,,,8,0,8,8,0,0
2016-05-07 19:40:00,2016-05-07 21:30:00,2016-05-07,7:40 PM,9:30 PM,Car ride home,,Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-07 23:33:00,2016-05-07 00:00:00,2016-05-07,11:33 PM,12:00 AM,"Kai comes over for dessert, talking to my mom",Home,Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-08 00:00:00,2016-05-08 01:00:00,2016-05-08,12:00 AM,1:00 AM,Talking to family in China,Home,Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-08 11:45:00,2016-05-08 12:00:00,2016-05-08,11:45 AM,12:00 PM,Getting ready to go to Grandma's house,Home,Tired,5,,,,,,,,5,,0,0,0,0,0,0
2016-05-08 12:00:00,2016-05-08 13:13:00,2016-05-08,12:00 PM,1:13 PM,Car ride to grandma's house,,Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-08 13:13:00,2016-05-08 16:54:00,2016-05-08,1:13 PM,4:54 PM,At grandma's house,"Grandma's house, Prospect Park","Tired, bored",8,,,8,,,,,,8,8,0,0,8,0,0
2016-05-08 16:00:00,2016-05-08 17:17:00,2016-05-08,4:00 PM,5:17 PM,Kai arrives,"Grandma's house, Prospect Park",Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-08 17:17:00,2016-05-08 18:08:00,2016-05-08,5:17 PM,6:08 PM,With Kai and Mom,IKEA,Calm,8,,,8,,,,,,,8,0,0,8,0,0
2016-05-08 19:20:00,2016-05-08 19:36:00,2016-05-08,7:20 PM,7:36 PM,Kai scratches sister's car,Brooklyn,Angry,6,,,,,,6,,,,0,6,0,0,6,0
2016-05-08 19:36:00,2016-05-08 22:37:00,2016-05-08,7:36 PM,10:37 PM,Dinner with Kai's family,"18 Ave, Brooklyn","Tired, angry",15,,,,,,10,,10,,0,10,0,0,10,0
2016-05-08 23:24:00,2016-05-08 12:06:00,2016-05-08,11:24 PM,12:06 PM,Kai helping me with Chinese homework,Home,"Tired, Angry",7,,,,,,7,,7,,0,7,0,0,7,0
2016-05-09 09:21:00,2016-05-09 09:40:00,2016-05-09,9:21 AM,9:40 AM,Doctor's appointment,"Doctor's, brooklyn","tired, anxious",6,,,,6,,,,6,,0,6,0,0,6,6
